NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0023,78,Ang,Chloranthaceae,Ascarina,Ascarina solmsiana,T,D,s052,-22.166,166.534,5,,,,-2.634,,,,,,,,,417,19.3,2109,1165,1.8128,,New Caledonia rain forests,TRR,,
s0025,80,Ang,Calycanthaceae,Calycanthus,Calycanthus floridus,T,D,s186,35.2026,-82.2424,4,,,,-2.112,,,,,,,,,347,14.9,1456,1293,1.126,Acrisol,Appalachian-Blue Ridge forests,TMS,temperate broadleaf and mixed forests,
s0026,81,Ang,Canellaceae,Canella,Canella winterana,T,E,s126,25.6773,-80.2724,9,,,,-0.232,,,,,,,,,10,24.2,1295,1258,1.0294,Gleysol,South Florida rocklands,TRS,,
s0027,82,Ang,Eupomatiaceae,Eupomatia,Eupomatia laurina,S,E,s073,-16.8993,145.7507,15,,,,-0.395,,,,,,,,,6,24.7,2241,1491,1.511,Cambisol,Queensland tropical rain forests,TRR,,
s0028,83,Ang,Himantandraceae,Galbulimima,Galbulimima baccata,T,E,s075,-16.8197,145.6454,20,,,,-1.3,,,,,,,,,360,23,2200,1472,1.4918,Cambisol,Queensland tropical rain forests,TRR,,
s0029,84,Ang,Chloranthaceae,Hedyosmum,Hedyosmum goudotianum,T,D,s104,10.319,-84.7936,25,,,,-1.741,,,,,,,,,1455,17.1,2899,1288,2.2515,Acrisol,Talamancan montane forests,TRR,tropical moist broadleaf forest,
s0030,85,Ang,Chloranthaceae,Hedyosmum,Hedyosmum mexicanum,T,D,s099,10.0251,-84.1253,10,,,,-0.789,,,,,,,,,1119,20.2,2330,1444,1.6135,Acrisol,Costa Rican seasonal moist forests,TRR,,
s0031,86,Ang,Calycanthaceae,Idiospermum,Idiospermum australiense,T,D,s073,-16.8993,145.7507,30,,,,-0.615,,,,,,,,,6,24.7,2241,1491,1.511,Cambisol,Queensland tropical rain forests,TRR,,
s0032,87,Ang,Illiciaceae,Illicium,Illicium anisatum,T,E,s180,35.0116,135.768,10,,,,-3.656,,,,,,,,,58,15.4,1720,1088,1.5799,Cambisol,Taiheiyo evergreen forests,TMR,,
s0033,88,Ang,Illiciaceae,Illicium,Illicium floridanum,T,E,s131,29.9546,-90.0751,15,,,,-3.284,,,,,,,,,6,20.3,1547,1367,1.1316,Histosol,Mississippi lowland forests,TMR,temperate broadleaf and mixed forest,
s0037,92,Ang,Malvaceae,Adansonia,Adansonia rubrostipa,T,D,s062,-20.45,44.8167,25,,,,-1.1,-0.257,-0.954,,,0.41,49,104,,109,26,918,1923,0.4763,Arenosol,Madagascar succulent woodlands,WDS,,
s0038,93,Ang,Malvaceae,Adansonia,Adansonia za,T,D,s062,-20.45,44.8167,40,,,,-1.7,-0.27,-0.971,,,0.38,47,93,,109,26,918,1923,0.4763,Arenosol,Madagascar succulent woodlands,WDS,,
s0039,94,Ang,Oleaceae,Fraxinus,Fraxinus americana,T,D,s243,42.35,-71.0833,40,15,,,-1.92,,,,,,,,,9,9.8,1123,955,1.1769,Podzol,Northeastern coastal forests,TMR,,
s0040,95,Ang,Fabaceae,Sophora,Sophora japonica,T,D,s243,42.35,-71.0833,25,15,,,-2.6,,,,,,,,,9,9.8,1123,955,1.1769,Podzol,Northeastern coastal forests,TMR,,
s0041,96,Ang,Rhamnaceae,Alphitonia,Alphitonia excelsa,T,E,s066,-19.1833,145.75,25,5,4.89,10.03,-5.56,-4.18,-4.47,,0.463,0.67,51.39,84,24,351,22.9,660,1646,0.4046,Nitosol,Einasleigh upland savanna,TRS,,
s0042,97,Ang,Myrtaceae,Austromyrtus,Austromyrtus bidwillii,T,E,s066,-19.1833,145.75,25,6,1.24,1.8,-5.12,-4.47,-6.07,,0.637,0.71,33.15,217,50,351,22.9,660,1646,0.4046,Nitosol,Einasleigh upland savanna,TRS,,
s0043,98,Ang,Malvaceae,Brachychiton,Brachychiton australis,T,D,s066,-19.1833,145.75,20,8,6.46,20.19,-3.17,-0.37,-1.89,,0.313,0.25,97.42,14,42,351,22.9,660,1646,0.4046,Nitosol,Einasleigh upland savanna,TRS,,
